Site,y.1,y.2,y.3,Herbicide,BA,Nsnags,Nburns,Nthins,Evergreen5km,Sky.1,Sky.2,Sky.3,Jdate.1,Jdate.2,Jdate.3,Time.1,Time.2,Time.3
Battlewood_1B_8,0,0,0,0,81,1.6,1,1,2835.555716,1,0,1,2457884.5,2457905.5,2457917.5,137,171,6
Battlewood_1B_E_B,0,0,1,0,84,0.2,1,1,2782.424237,1,0,2,2457884.5,2457905.5,2457917.5,155,151,23
Blease_3B_6,0,1,1,1,102,0.4,4,2,5449.451977,0,0,1,2457885.5,2457898.5,2457913.5,17,117,66
Blease_3B_9,0,0,0,1,87,2.6,12,2,5296.785229,0,1,1,2457885.5,2457898.5,2457913.5,34,133,51
Bryson_1B_9,0,0,0,1,92,0,1,3,2502.329325,0,2,2,2457884.5,2457893.5,2457911.5,210,130,38
Bryson_2B_9,0,0,0,1,91,0,2,3,2325.04769,1,2,2,2457884.5,2457893.5,2457911.5,241,153,61
Bryson_3B_E_B,0,0,0,1,90,0.2,3,3,2482.225274,0,2,2,2457884.5,2457893.5,2457911.5,189,178,9
Burnett_Pauline_1B_5,0,0,0,1,77,0.4,1,2,1160.481767,1,0,1,2457884.5,2457905.5,2457917.5,93,8,70
Creswell_0B_8,0,0,0,0,100,2,0,0,6399.82003,1,2,0,2457890.5,2457903.5,2457919.5,44,147,108
Creswell_2B_10,0,0,0,1,81,4,2,1,6239.975391,1,2,0,2457890.5,2457903.5,2457919.5,22,169,131
Gosnell_0B_5A,0,0,0,0,110,0.2,0,1,3379.464868,0,1,2,2457883.5,2457893.5,2457916.5,232,34,128
Gosnell_0B_5B,0,0,0,0,98,0.4,0,1,3158.296351,1,2,1,2457893.5,2457904.5,2457916.5,14,185,146
Hood_Creek_0B_7,0,0,0,0,104,0,0,1,2638.699849,1,2,2,2457889.5,2457893.5,2457916.5,17,84,182
Hood_Creek_0B_HC,0,0,0,0,97,0,0,1,2724.31558,2,2,2,2457893.5,2457904.5,2457916.5,67,161,165
Howard_2B_4,0,0,0,0,67,0,2,2,1021.848734,2,0,1,2457883.5,2457899.5,2457923.5,20,126,3
Hudson_2B_7,0,0,0,1,73,0.8,2,1,5543.193869,1,1,1,2457884.5,2457905.5,2457917.5,30,74,151
Hudson_2B_8,0,0,0,1,83,0.8,2,1,5692.170342,1,1,1,2457884.5,2457905.5,2457917.5,9,98,130
Kemp_0B_10,0,0,2,1,74,0,7,2,6387.078539,2,0,0,2457892.5,2457912.5,2457919.5,38,110,187
Kemp_1B_1,0,0,1,1,78,0,1,1,6333.668706,2,1,1,2457891.5,2457912.5,2457931.5,100,39,96
Kemp_2B_2,0,0,2,1,84,0,2,2,6203.569965,2,1,1,2457892.5,2457912.5,2457931.5,13,80,59
Kemp_2B_5,0,1,1,1,93,0,2,2,5927.286888,2,1,1,2457891.5,2457912.5,2457931.5,80,10,120
Kemp_3B_11,0,3,2,1,41,0.8,5,6,6566.282688,2,1,1,2457891.5,2457912.5,2457931.5,118,58,74
Kessler_3B_4,0,0,1,0,105,1.2,3,2,3115.478931,1,0,1,2457888.5,2457902.5,2457918.5,12,139,48
Kessler_3B_5A,0,2,2,0,91,0.6,3,3,3199.975531,1,0,1,2457888.5,2457902.5,2457918.5,37,161,31
Kessler_3B_5B,0,0,1,0,75,1.6,3,3,3263.463758,1,0,1,2457888.5,2457902.5,2457918.5,63,186,13
Livingston_3B_10,0,0,1,1,73,1.4,4,2,5948.662258,1,0,1,2457885.5,2457898.5,2457913.5,77,180,8
Mathis_1B_6,0,0,1,0,50,0,1,2,8361.621882,1,2,1,2457890.5,2457903.5,2457919.5,155,53,3
Mathis_1B_7,0,0,1,0,74,1.6,1,1,8222.912291,0,2,1,2457890.5,2457903.5,2457919.5,234,28,26
Mills_0B_9,0,0,0,0,96,1.2,0,2,3482.027018,2,1,1,2457891.5,2457906.5,2457923.5,166,14,122
Mills_1B_4,0,0,0,0,97,1.2,1,2,2614.669971,1,0,1,2457891.5,2457906.5,2457923.5,229,73,180
Mills_1B_45,0,0,0,0,99,1.6,1,2,3654.781331,2,1,1,2457891.5,2457906.5,2457923.5,196,44,152
Shealy_0B_2,0,0,0,0,101,1.6,0,1,4907.62615,0,2,2,2457885.5,2457904.5,2457920.5,118,12,123
Shealy_0B_4,0,0,0,1,91,0.4,0,1,4306.352196,0,1,2,2457885.5,2457907.5,2457920.5,146,32,78
Shealy_1B_3A,0,0,0,1,124,1,1,1,4586.772129,0,2,2,2457885.5,2457904.5,2457920.5,232,46,45
Shealy_1B_3B,0,0,0,1,92,0.6,1,1,4610.434534,0,2,2,2457892.5,2457904.5,2457920.5,227,73,28
Shealy_1B_E_S,0,0,0,1,101,1.8,1,1,4323.983496,0,2,2,2457885.5,2457904.5,2457920.5,201,109,0
Shealy_2B_3,0,0,0,1,92,1,2,1,4309.705396,0,1,2,2457885.5,2457907.5,2457920.5,171,13,98
Suggs_0B_E_S,0,0,0,1,76,4.4,0,1,3458.317085,0,1,1,2457889.5,2457902.5,2457916.5,122,8,9
Swanson_2B_E_SW,0,0,0,0,67,0,2,3,5028.667479,1,0,1,2457891.5,2457906.5,2457931.5,27,146,9
Swanson_3B_2,0,0,0,0,69,0,3,3,4934.64346,1,0,1,2457891.5,2457906.5,2457931.5,42,128,25
Timberhaven_2B_1,0,0,0,1,73,0,2,1,5737.008098,1,0,0,2457892.5,2457898.5,2457913.5,93,66,153
Timberhaven_3B_7,1,2,1,1,42,0,8,3,6115.105381,0,1,0,2457892.5,2457898.5,2457913.5,138,26,109
Timberhaven_3B_8,0,0,1,1,38,0,8,3,5893.915888,0,1,0,2457892.5,2457898.5,2457913.5,115,45,129
Turkey_Rd_2B_6A,1,0,2,1,66,0.2,2,2,9152.847893,1,5,0,2457890.5,2457903.5,2457919.5,80,92,76
Turkey_Rd_2B_6B,0,1,1,1,82,0,2,2,9025.059979,1,2,0,2457890.5,2457903.5,2457919.5,104,111,58
Turner_Abercrombie_0B_E_AB,0,0,0,1,97,2.2,0,1,1361.625954,1,0,0,2457883.5,2457899.5,2457918.5,81,84,140
Turner_Abercrombie_1B_2,0,0,0,0,114,2,1,1,1440.334641,1,0,0,2457883.5,2457899.5,2457918.5,61,62,156
Turner_Honea_Path_0B_1,0,0,0,1,121,0.6,0,1,1559.636166,0,1,0,2457889.5,2457899.5,2457918.5,59,32,112
Turner_Honea_Path_0B_6,0,0,0,0,92,0.2,0,2,1843.16394,0,1,0,2457883.5,2457899.5,2457918.5,129,11,95
Turner_Honea_Path_3B_1,0,0,0,1,76,1,3,2,1892.394159,1,1,1,2457883.5,2457902.5,2457916.5,176,64,77
Turner_Honea_Path_3B_3,0,0,0,1,90,0.4,3,2,1904.401578,1,1,1,2457883.5,2457902.5,2457916.5,160,79,62
