site,y.1,y.2,y.3,year,Herbicide,BA,Nsnags,Nburns,Nthins,Evergreen5km,Sky.1,Sky.2,Sky.3,Time.1,Time.2,Time.3
Battlewood_1B_8,0,0,0,2017,0,81,1.6,1,1,2835.555716,1,0,1,137,171,6
Battlewood_1B_E_B,0,0,1,2017,0,84,0.2,1,1,2782.424237,1,0,2,155,151,23
Blease_3B_6,0,1,1,2017,1,102,0.4,4,2,5449.451977,0,0,1,17,117,66
Blease_3B_9,0,0,0,2017,1,87,2.6,12,2,5296.785229,0,1,1,34,133,51
Bryson_1B_9,0,0,0,2017,1,92,0,1,3,2502.329325,0,2,2,210,130,38
Bryson_2B_9,0,0,0,2017,1,91,0,2,3,2325.04769,1,2,2,241,153,61
Bryson_3B_E_B,0,0,0,2017,1,90,0.2,3,3,2482.225274,0,2,2,189,178,9
Burnett_1B_5,0,0,0,2017,1,77,0.4,1,2,1160.481767,1,0,1,93,8,70
Creswell_0B_8,0,0,0,2017,0,100,2,0,0,6399.82003,1,2,0,44,147,108
Creswell_2B_10,0,0,0,2017,1,81,4,2,1,6239.975391,1,2,0,22,169,131
Gosnell_0B_5A,0,0,0,2017,0,110,0.2,0,1,3379.464868,0,1,2,232,34,128
Hood_Creek_0B_7,0,0,0,2017,0,104,0,0,1,2638.699849,1,2,1,14,185,146
Hood_Creek_0B_HC,0,0,0,2017,0,97,0,0,1,2724.31558,1,2,2,17,84,182
Howard_2B_4,0,0,0,2017,0,67,0,2,2,1021.848734,2,2,2,67,161,165
Hudson_2B_7,0,0,0,2017,1,73,0.8,2,1,5543.193869,2,0,1,20,126,3
Hudson_2B_8,0,0,0,2017,1,83,0.8,2,1,5692.170342,1,1,1,30,74,151
Kemp_0B_10,0,0,1,2017,1,74,0,7,2,6387.078539,1,1,1,9,98,130
Kemp_1B_1,0,0,1,2017,1,78,0,1,1,6333.668706,2,0,0,38,110,187
Kemp_2B_2,0,0,1,2017,1,84,0,2,2,6203.569965,2,1,1,100,39,96
Kemp_2B_5,0,1,1,2017,1,93,0,2,2,5927.286888,2,1,1,13,80,59
Kemp_3B_11,0,1,1,2017,1,41,0.8,5,6,6566.282688,2,1,1,80,10,120
Kessler_3B_4,0,0,1,2017,0,105,1.2,3,2,3115.478931,2,1,1,118,58,74
Kessler_3B_5B,0,0,1,2017,0,75,1.6,3,3,3263.463758,1,0,1,12,139,48
Livingston_3B_10,0,0,1,2017,1,73,1.4,4,2,5948.662258,1,0,1,37,161,31
Mathis_1B_6,0,0,1,2017,0,50,0,1,2,8361.621882,1,0,1,63,186,13
Mathis_1B_7,0,0,1,2017,0,74,1.6,1,1,8222.912291,1,0,1,77,180,8
Mills_0B_9,0,0,0,2017,0,96,1.2,0,2,3482.027018,1,2,1,155,53,3
Mills_1B_4,0,0,0,2017,0,97,1.2,1,2,2614.669971,0,2,1,234,28,26
Mills_1B_45,0,0,0,2017,0,99,1.6,1,2,3654.781331,2,1,1,166,14,122
Shealy_0B_2,0,0,0,2017,0,101,1.6,0,1,4907.62615,1,0,1,229,73,180
Shealy_0B_4,0,0,0,2017,1,91,0.4,0,1,4306.352196,2,1,1,196,44,152
Shealy_1B_3A,0,0,0,2017,1,124,1,1,1,4586.772129,0,2,2,118,12,123
Shealy_1B_E_S,0,0,0,2017,1,101,1.8,1,1,4323.983496,0,1,2,146,32,78
Shealy_2B_3,0,0,0,2017,1,92,1,2,1,4309.705396,0,2,2,232,46,45
Suggs_0B_E_S,0,0,0,2017,1,76,4.4,0,1,3458.317085,0,2,2,227,73,28
Swanson_2B_E_SW,0,0,0,2017,0,67,0,2,3,5028.667479,0,2,2,201,109,0
Swanson_3B_2,0,0,0,2017,0,69,0,3,3,4934.64346,0,1,2,171,13,98
Timberhaven_2B_1,0,0,0,2017,1,73,0,2,1,5737.008098,0,1,1,122,8,9
Timberhaven_3B_7,1,1,1,2017,1,42,0,8,3,6115.105381,1,0,1,27,146,9
Timberhaven_3B_8,0,0,1,2017,1,38,0,8,3,5893.915888,1,0,1,42,128,25
Turkey_Rd_2B_6A,1,0,1,2017,1,66,0.2,2,2,9152.847893,1,0,0,93,66,153
Turner_Abercrombie_0B_E_AB,0,0,0,2017,1,97,2.2,0,1,1361.625954,0,1,0,138,26,109
Turner_Abercrombie_1B_2,0,0,0,2017,0,114,2,1,1,1440.334641,0,1,0,115,45,129
Turner_Honea_Path_0B_1,0,0,0,2017,1,121,0.6,0,1,1559.636166,1,5,0,80,92,76
Turner_Honea_Path_0B_6,0,0,0,2017,0,92,0.2,0,2,1843.16394,1,2,0,104,111,58
Turner_Honea_Path_3B_1,0,0,0,2017,1,76,1,3,2,1892.394159,1,0,0,81,84,140
Turner_Honea_Path_3B_3,0,0,0,2017,1,90,0.4,3,2,1904.401578,1,0,0,61,62,156
Battlewood_1B_8,0,0,0,2018,0,92,2.4,2,1,2835.555716,0,1,0,59,32,112
Battlewood_1B_E_B,0,1,0,2018,0,72,0.8,2,1,2782.424237,0,2,0,18,172,48
Blease_3B_6,0,0,1,2018,1,98,0.6,5,2,5449.451977,0,4,3,18,168,184
Blease_3B_9,0,0,0,2018,1,74,1.2,13,2,5296.785229,1,5,1,114,4,201
Bryson_1B_9,0,0,0,2018,1,87,0.4,2,3,2502.329325,3,3,0,138,14,88
Bryson_2B_9,0,0,0,2018,1,87,0.4,3,3,2325.04769,3,3,2,1,72,28
Bryson_3B_E_B,0,0,0,2018,1,77,0.4,3,3,2482.225274,0,0,3,14,84,145
Burnett_1B_5,0,0,0,2018,1,92,0.2,1,2,1160.481767,1,2,5,136,49,45
Creswell_0B_8,0,0,0,2018,0,87,2.2,0,0,6399.82003,2,1,4,220,221,154
Creswell_2B_10,0,0,0,2018,1,79,1.8,3,1,6239.975391,2,2,0,114,225,116
Gosnell_0B_5A,0,0,0,2018,0,141,0.2,0,1,3379.464868,2,4,2,89,168,141
Hood_Creek_0B_7,0,0,0,2018,0,101,0.6,0,1,2638.699849,5,3,5,141,217,175
Hood_Creek_0B_HC,0,0,0,2018,0,90,0.2,0,1,2724.31558,5,0,0,61,103,50
Howard_2B_4,0,0,0,2018,0,77,0.4,2,2,1021.848734,4,4,2,41,87,216
Hudson_2B_7,0,1,0,2018,1,58,0.2,2,1,5543.193869,2,5,0,119,193,241
Hudson_2B_8,0,0,0,2018,1,57,1.2,2,1,5692.170342,0,4,1,60,108,157
Kemp_0B_10,0,0,0,2018,1,84,0.6,1,1,6333.668706,4,3,3,178,71,237
Kemp_1B_1,0,1,1,2018,1,83,0.4,2,2,6203.569965,3,0,5,132,228,108
Kemp_2B_2,1,1,1,2018,1,89,0.4,2,2,5927.286888,1,5,5,35,226,211
Kemp_2B_5,1,1,0,2018,1,57,1,6,6,6566.282688,2,3,3,93,141,143
Kemp_3B_11,1,1,1,2018,0,84,0.6,3,2,3115.478931,0,5,3,136,19,181
Kessler_3B_4,0,1,1,2018,0,76,1.4,3,3,3263.463758,5,1,4,139,39,113
Kessler_3B_5B,0,1,1,2018,1,91,0.4,4,2,5948.662258,4,3,4,237,70,84
Livingston_3B_10,0,1,0,2018,0,48,0.4,2,2,8361.621882,5,5,1,76,104,7
Mathis_1B_6,0,1,1,2018,0,59,0.6,1,1,8222.912291,1,4,2,203,168,67
Mathis_1B_7,0,0,0,2018,1,73,0.4,1,2,3482.027018,5,3,0,202,223,225
Mills_0B_9,0,0,0,2018,1,107,2.6,2,2,2614.669971,4,4,0,159,197,9
Mills_1B_4,0,0,0,2018,1,107,0.6,2,2,3654.781331,0,4,5,12,173,183
Mills_1B_45,0,0,0,2018,0,106,0.4,0,1,4907.62615,4,0,3,165,239,16
Shealy_0B_2,0,1,0,2018,1,107,0.4,0,1,4306.352196,2,3,1,210,63,29
Shealy_0B_4,0,0,1,2018,1,118,1.8,1,1,4586.772129,3,4,5,220,116,13
Shealy_1B_3A,1,1,1,2018,1,114,1,1,1,4323.983496,5,5,4,188,103,141
Shealy_1B_E_S,1,0,0,2018,1,76,1.4,2,1,4309.705396,0,1,3,72,105,100
Shealy_2B_3,0,1,1,2018,1,74,4.2,1,1,3458.317085,5,0,0,101,20,151
Suggs_0B_E_S,0,1,0,2018,0,65,0.25,3,3,5028.667479,2,0,1,79,230,66
Swanson_2B_E_SW,0,0,0,2018,0,50,0,3,3,4934.64346,0,3,0,92,33,103
Swanson_3B_2,0,0,1,2018,1,89,1,3,1,5737.008098,0,2,0,159,227,220
Timberhaven_2B_1,0,1,1,2018,1,47,0,9,3,6115.105381,0,0,2,235,174,218
Timberhaven_3B_7,0,1,1,2018,1,40,0.4,8,3,5893.915888,0,4,3,219,63,140
Timberhaven_3B_8,0,0,1,2018,1,78,1.8,0,2,1361.625954,4,4,2,128,5,131
Turkey_Rd_2B_6A,0,0,0,2018,0,72,1,1,2,1440.334641,4,0,4,59,103,81
Turner_Abercrombie_0B_E_AB,0,0,0,2018,1,78,0.8,0,1,1559.636166,2,4,2,81,34,51
Turner_Abercrombie_1B_2,0,0,0,2018,0,74,0.8,0,2,1843.16394,3,5,1,27,106,111
Turner_Honea_Path_0B_1,0,0,0,2018,1,81,0.4,3,2,1892.394159,0,5,4,73,188,132
Turner_Honea_Path_0B_6,0,0,0,2018,1,79,0.6,3,2,1904.401578,1,4,4,67,211,90
Turner_Honea_Path_3B_1,0,0,0,2018,1,77,0,4,3,9637.845706,0,5,4,54,210,6
Turner_Honea_Path_3B_3,0,0,0,2018,1,65,0.2,2,2,5376.350716,5,1,2,119,83,97
